Jahr;Bundesland;gesamt;Jänner;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Population
2021;Salzburg           ;838;41;62;97;76;97;75;71;53;48;81;74;63;561416
2021;Steiermark         ;1 956;142;158;199;162;164;183;132;173;145;167;159;172;1249278
2021;Tirol              ;1 068;74;76;107;93;86;101;96;75;69;96;95;100;761596
2021;Vorarlberg         ;679;40;47;76;63;56;67;46;59;50;45;51;79;400469
2021;Wien               ;3 529;270;294;367;318;316;320;250;187;331;298;314;264;1923825
2022;Österreich;13 997;1 020;1 165;1 289;1 167;1 321;1 177;1 033;976;1 169;1 137;1 311;1 232;9052856
2022;Burgenland         ;450;32;44;36;43;25;26;52;28;35;39;39;51;299968
2022;Kärnten            ;921;50;70;83;77;79;70;85;98;81;62;82;84;567196
2022;Niederösterreich   ;2 798;213;219;239;215;274;216;201;194;242;239;300;246;1711341
2022;Oberösterreich     ;2 121;160;177;198;171;219;164;170;163;170;159;190;180;1515781
2022;Salzburg           ;840;48;78;79;72;68;76;56;68;75;68;65;87;565851
2022;Steiermark         ;1 905;131;140;170;157;172;172;150;147;148;172;169;177;1260016
2022;Tirol              ;982;74;89;86;101;99;87;79;56;69;65;84;93;767795
2022;Vorarlberg         ;651;57;46;69;44;65;72;48;55;36;59;48;52;404253
2022;Wien               ;3 329;255;302;329;287;320;294;192;167;313;274;334;262;1960655
2023;Österreich;14 721;1 096;1 153;1 348;1 117;1 313;1 295;1 120;1 116;1 161;1 298;1 351;1 353;9130697
2023;Burgenland         ;460;36;40;45;33;32;32;35;41;43;43;46;34;301495
2023;Kärnten            ;1 031;67;72;85;84;88;92;94;71;91;93;85;109;569108
2023;Niederösterreich   ;2 847;208;213;281;219;236;268;209;231;228;257;222;275;1721067
2023;Oberösterreich     ;2 332;171;202;206;194;204;208;167;187;156;212;218;207;1526805
2023;Salzburg           ;877;79;61;85;64;81;64;62;77;66;78;90;70;569911
2023;Steiermark         ;1 902;153;129;160;134;192;176;143;149;146;164;180;176;1267269
2023;Tirol              ;1 109;69;92;104;74;93;100;101;94;79;78;106;119;773496
2023;Vorarlberg         ;723;44;71;69;49;79;50;67;47;59;52;67;69;408399
2023;Wien               ;3 440;269;273;313;266;308;305;242;219;293;321;337;294;1993147
